RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
   62   72     0     0  con    0  1.0D+00  3.2D-01  1.758D-01  1.079D+00
   63   73     0     0  con    0  1.0D+00  6.7D-02  9.750D-02  1.079D+00
   64   74     0     0  con    0  1.0D+00  1.5D-01  1.073D-01  1.078D+00
   65   75     0     0  con    0  1.0D+00  3.9D-02  1.181D-01  1.078D+00
   66   76     0     0  con    0  1.0D+00  4.0D-02  1.417D-01  1.075D+00
   67   78     0     0  con    1  4.3D-01  3.9D-01  1.237D-01  1.074D+00
   68   80     0     0  con    1  2.5D-01  6.0D-01  8.637D-02  1.072D+00
   69   82     0     0  con    1  4.7D-01  5.5D-01  5.230D-02  1.071D+00
   70   83     0     0  con    0  1.0D+00  7.3D-02  3.214D-02  1.071D+00
   71   84     0     0  con    0  1.0D+00  1.1D-01  4.445D-02  1.071D+00
   72   86     0     0  con    1  4.2D-01  6.0D-03  6.689D-02  1.070D+00
   73   87     0     0  con    0  1.0D+00  7.0D-02  2.405D-02  1.070D+00
   74   88     0     0  con    0  1.0D+00  9.2D-02  3.170D-02  1.070D+00
   75   89     0     0  con    0  1.0D+00  3.8D-02  4.677D-02  1.070D+00
   76   90     0     0  con    0  1.0D+00  7.5D-03  2.534D-02  1.070D+00
   77   91     0     0  con    0  1.0D+00  7.8D-03  2.291D-02  1.070D+00
   78   92     0     0  con    0  1.0D+00  9.6D-03  2.721D-02  1.070D+00
   79   93     0     0  con    0  1.0D+00  1.5D-02  1.911D-02  1.070D+00
   80   94     0     0  con    0  1.0D+00  2.8D-02  8.982D-03  1.070D+00
   81   95     0     0  con    0  1.0D+00  3.0D-02  1.725D-02  1.070D+00
   82   96     0     0  con    0  1.0D+00  1.8D-02  1.437D-02  1.070D+00
   83   98     0     0  con    1  5.0D-01  1.6D-03  1.326D-02  1.070D+00
   84   99     0     0  con    0  1.0D+00  3.7D-03  5.248D-03  1.070D+00
   85  100     0     0  con    0  1.0D+00  2.2D-03  6.037D-03  1.070D+00
   86  101     0     0  con    0  1.0D+00  6.0D-03  2.229D-02  1.070D+00
   87  102     0     0  con    0  1.0D+00  5.3D-03  6.748D-03  1.070D+00
   88  103     0     0  con    0  1.0D+00  4.9D-03  2.834D-03  1.070D+00
   89  104     0     0  con    0  1.0D+00  3.8D-03  2.518D-03  1.070D+00
   90  105     0     0  con    0  1.0D+00  2.2D-03  1.568D-03  1.070D+00
   91  106     0     0  con    0  1.0D+00  2.4D-03  3.961D-03  1.070D+00
   92  107     0     0  con    0  1.0D+00  4.0D-04  2.067D-03  1.070D+00
   93  108     0     0  con    0  1.0D+00  1.2D-03  7.301D-04  1.070D+00
   94  109     0     0  con    0  1.0D+00  2.0D-03  7.034D-04  1.070D+00
   95  111     0     0  con    1  8.0D-02  7.8D-05  1.505D-03  1.070D+00
   96  112     0     0  con    0  1.0D+00  7.1D-04  1.154D-03  1.070D+00
   97  113     0     0  con    0  1.0D+00  3.7D-03  1.466D-03  1.070D+00
   98  114     0     0  con    0  1.0D+00  1.3D-03  2.345D-03  1.070D+00
   99  115     0     0  con    0  1.0D+00  8.7D-04  5.556D-04  1.070D+00
  100  116     0     0  con    0  1.0D+00  4.3D-04  3.207D-04  1.070D+00

STOP: TOTAL NO. of ITERATIONS REACHED LIMIT                 

 Total User time 5.154E-01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           65     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     7.338D+03  9.961D+02
    1    4     1     0  ---    2  2.6D-06  7.7D-02  1.997D+03  6.066D+02
    2    5     0     0  con    0  1.0D+00  1.4D-02  1.799D+03  5.170D+02
    3    7     0     0  con    1  3.8D-01  2.9D-02  9.073D+02  4.043D+02
    4    8     0     0  con    0  1.0D+00  2.2D-02  1.249D+03  3.681D+02
    5    9     0     0  con    0  1.0D+00  5.0D-02  1.137D+03  2.935D+02
    6   10     0     0  con    0  1.0D+00  6.7D-02  6.760D+02  2.134D+02
    7   11     0     0  con    0  1.0D+00  6.1D-02  4.220D+02  1.732D+02
    8   12     0     0  con    0  1.0D+00  7.3D-02  2.634D+02  1.461D+02
    9   13     0     0  con    0  1.0D+00  8.3D-02  1.716D+02  1.278D+02
   10   14     0     0  con    0  1.0D+00  1.0D-01  1.203D+02  1.127D+02
   11   15     0     0  con    0  1.0D+00  1.5D-01  8.565D+01  9.680D+01
   12   16     0     0  con    0  1.0D+00  2.9D-01  1.049D+02  8.982D+01
   13   17     0     0  con    0  1.0D+00  1.5D-01  5.405D+01  7.526D+01
   14   18     0     0  con    0  1.0D+00  1.2D-01  3.377D+01  7.136D+01
   15   20     0     0  con    1  4.2D-01  1.0D-01  6.772D+01  7.031D+01
   16   21     0     0  con    0  1.0D+00  9.2D-02  3.215D+01  6.864D+01
   17   22     0     0  con    0  1.0D+00  7.2D-02  3.503D+01  6.757D+01
   18   23     0     0  con    0  1.0D+00  7.5D-02  4.101D+01  6.621D+01
   19   24     0     0  con    0  1.0D+00  1.1D-01  3.759D+01  6.385D+01
   20   25     0     0  con    0  1.0D+00  1.7D-01  4.188D+01  5.991D+01
   21   26     0     0  con    0  1.0D+00  2.9D-01  4.572D+01  5.578D+01
   22   28     0     0  con    1  5.2D-01  1.4D-01  1.947D+01  5.399D+01
   23   29     0     0  con    0  1.0D+00  6.2D-02  1.299D+01  5.272D+01
   24   30     0     0  con    0  1.0D+00  1.1D-01  2.453D+01  5.132D+01
   25   31     0     0  con    0  1.0D+00  1.1D-01  2.729D+01  5.012D+01
   26   33     0     0  con    1  7.2D-02  4.4D-02  5.112D+01  4.994D+01
   27   34     0     0  con    0  1.0D+00  1.6D-01  3.596D+01  4.851D+01
   28   35     0     0  con    0  1.0D+00  1.8D-01  1.239D+01  4.731D+01
   29   36     0     0  con    0  1.0D+00  8.3D-02  1.553D+01  4.684D+01
   30   37     0     0  con    0  1.0D+00  4.4D-02  1.386D+01  4.647D+01
   31   38     0     0  con    0  1.0D+00  1.3D-01  2.247D+01  4.603D+01
   32   39     0     0  con    0  1.0D+00  8.3D-02  1.252D+01  4.555D+01
   33   40     0     0  con    0  1.0D+00  3.0D-02  1.015D+01  4.536D+01
   34   41     0     0  con    0  1.0D+00  6.3D-02  4.578D+00  4.503D+01
   35   42     0     0  con    0  1.0D+00  1.1D-01  7.999D+00  4.477D+01
   36   43     0     0  con    0  1.0D+00  6.6D-02  1.456D+01  4.457D+01
   37   44     0     0  con    0  1.0D+00  3.4D-02  1.472D+01  4.439D+01
   38   45     0     0  con    0  1.0D+00  4.0D-02  6.984D+00  4.418D+01
   39   46     0     0  con    0  1.0D+00  3.0D-02  8.671D+00  4.410D+01
   40   47     0     0  con    0  1.0D+00  3.5D-02  6.466D+00  4.400D+01
   41   48     0     0  con    0  1.0D+00  1.9D-02  5.272D+00  4.395D+01
   42   49     0     0  con    0  1.0D+00  2.3D-02  4.901D+00  4.387D+01
   43   50     0     0  con    0  1.0D+00  4.2D-02  7.955D+00  4.374D+01
   44   51     0     0  con    0  1.0D+00  6.5D-02  1.028D+01  4.367D+01
   45   52     0     0  con    0  1.0D+00  2.5D-02  4.005D+00  4.358D+01
   46   53     0     0  con    0  1.0D+00  1.1D-02  3.950D+00  4.354D+01
   47   54     0     0  con    0  1.0D+00  2.5D-02  4.986D+00  4.345D+01
   48   55     0     0  con    0  1.0D+00  4.9D-02  9.639D+00  4.335D+01
   49   56     0     0  con    0  1.0D+00  3.7D-02  4.417D+00  4.328D+01
   50   57     0     0  con    0  1.0D+00  1.1D-02  3.982D+00  4.325D+01
   51   58     0     0  con    0  1.0D+00  3.5D-02  4.870D+00  4.315D+01
   52   59     0     0  con    0  1.0D+00  7.4D-02  6.466D+00  4.305D+01
   53   60     0     0  con    0  1.0D+00  2.0D-02  3.024D+00  4.300D+01
   54   61     0     0  con    0  1.0D+00  8.7D-03  2.363D+00  4.297D+01
   55   62     0     0  con    0  1.0D+00  2.1D-02  2.186D+00  4.291D+01
   56   63     0     0  con    0  1.0D+00  6.0D-02  1.193D+01  4.290D+01
   57   64     0     0  con    0  1.0D+00  2.3D-02  3.225D+00  4.282D+01
   58   65     0     0  con    0  1.0D+00  7.3D-03  3.545D+00  4.280D+01
   59   66     0     0  con    0  1.0D+00  4.1D-02  5.876D+00  4.277D+01
   60   68     0     0  con    1  5.0D-01  1.9D-02  3.032D+00  4.276D+01
   61   69     0     0  con    0  1.0D+00  5.7D-03  2.692D+00  4.274D+01
   62   70     0     0  con    0  1.0D+00  2.0D-02  2.651D+00  4.270D+01
   63   71     0     0  con    0  1.0D+00  3.8D-02  4.231D+00  4.262D+01
   64   72     0     0  con    0  1.0D+00  7.5D-02  8.461D+00  4.257D+01
   65   73     0     0  con    0  1.0D+00  4.0D-02  5.706D+00  4.248D+01
   66   74     0     0  con    0  1.0D+00  1.4D-02  5.106D+00  4.244D+01
   67   75     0     0  con    0  1.0D+00  4.2D-02  4.576D+00  4.235D+01
   68   76     0     0  con    0  1.0D+00  1.2D-01  5.823D+00  4.215D+01
   69   78     0     0  con    1  5.2D-02  1.8D-02  6.827D+00  4.213D+01
   70   79     0     0  con    0  1.0D+00  1.0D-01  5.563D+00  4.202D+01
   71   80     0     0  con    0  1.0D+00  7.9D-02  3.501D+00  4.191D+01
   72   82     0     0  con    1  4.7D-01  5.4D-02  8.721D+00  4.187D+01
   73   83     0     0  con    0  1.0D+00  5.8D-02  3.642D+00  4.180D+01
   74   84     0     0  con    0  1.0D+00  1.0D-02  4.162D+00  4.178D+01
   75   85     0     0  con    0  1.0D+00  8.6D-02  5.958D+00  4.161D+01
   76   87     0     0  con    1  3.2D-01  3.8D-02  5.212D+00  4.156D+01
   77   88     0     0  con    0  1.0D+00  6.9D-02  3.422D+00  4.148D+01
   78   89     0     0  con    0  1.0D+00  6.7D-02  2.668D+00  4.139D+01
   79   90     0     0  con    0  1.0D+00  1.3D-01  3.541D+00  4.126D+01
   80   91     0     0  con    0  1.0D+00  1.9D-01  6.181D+00  4.108D+01
   81   93     0     0  con    1  2.1D-01  6.0D-02  9.266D+00  4.104D+01
   82   94     0     0  con    0  1.0D+00  7.8D-02  6.569D+00  4.095D+01
   83   95     0     0  con    0  1.0D+00  6.1D-02  1.181D+01  4.092D+01
   84   96     0     0  con    0  1.0D+00  1.9D-02  2.918D+00  4.086D+01
   85   97     0     0  con    0  1.0D+00  7.4D-03  3.007D+00  4.084D+01
   86   98     0     0  con    0  1.0D+00  4.0D-02  6.753D+00  4.079D+01
   87  100     0     0  con    1  4.9D-01  2.2D-02  6.812D+00  4.074D+01
   88  101     0     0  con    0  1.0D+00  4.1D-02  5.734D+00  4.068D+01
   89  102     0     0  con    0  1.0D+00  1.7D-01  4.419D+00  4.050D+01
   90  103     0     0  con    0  1.0D+00  1.6D-01  4.205D+00  4.036D+01
   91  104     0     0  con    0  1.0D+00  2.6D-01  4.483D+00  4.011D+01
   92  105     0     0  con    0  1.0D+00  5.3D-01  1.358D+01  3.975D+01
   93  107     0     0  con    1  3.2D-01  2.2D-01  8.038D+00  3.962D+01
   94  108     0     0  con    0  1.0D+00  3.5D-02  5.032D+00  3.950D+01
   95  109     0     0  con    0  1.0D+00  3.0D-02  8.969D+00  3.940D+01
   96  111     0     0  con    1  4.0D-01  5.3D-02  8.263D+00  3.934D+01
   97  112     0     0  con    0  1.0D+00  2.8D-02  7.067D+00  3.929D+01
   98  113     0     0  con    0  1.0D+00  1.9D-01  7.214D+00  3.909D+01
   99  114     0     0  con    0  1.0D+00  1.4D-01  6.340D+00  3.899D+01
  100  115     0     0  con    0  1.0D+00  2.5D-01  7.765D+00  3.884D+01

STOP: TOTAL NO. of ITERATIONS REACHED LIMIT                 

 Total User time 6.644E-01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           65     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     7.166D+03  9.961D+02
    1    4     1     0  ---    2  2.7D-06  8.1D-02  1.795D+03  5.790D+02
    2    5     0     0  con    0  1.0D+00  1.4D-02  1.587D+03  4.896D+02
    3    7     0     0  con    1  3.2D-01  3.2D-02  8.263D+02  3.558D+02
    4    8     0     0  con    0  1.0D+00  3.1D-02  1.271D+03  3.097D+02
    5    9     0     0  con    0  1.0D+00  3.4D-02  1.058D+03  2.442D+02
    6   10     0     0  con    0  1.0D+00  7.5D-02  6.077D+02  1.509D+02
    7   11     0     0  con    0  1.0D+00  7.0D-02  3.841D+02  1.046D+02
    8   12     0     0  con    0  1.0D+00  9.4D-02  2.180D+02  6.798D+01
    9   13     0     0  con    0  1.0D+00  1.1D-01  1.184D+02  4.315D+01
   10   14     0     0  con    0  1.0D+00  1.3D-01  7.668D+01  2.753D+01
   11   15     0     0  con    0  1.0D+00  1.5D-01  5.525D+01  1.742D+01
   12   16     0     0  con    0  1.0D+00  2.0D-01  3.121D+01  1.061D+01
   13   17     0     0  con    0  1.0D+00  1.8D-01  2.080D+01  6.960D+00
   14   18     0     0  con    0  1.0D+00  2.3D-01  1.060D+01  4.461D+00
   15   19     0     0  con    0  1.0D+00  2.0D-01  3.839D+00  3.301D+00
   16   20     0     0  con    0  1.0D+00  3.3D-01  1.480D+01  3.236D+00
   17   21     0     0  con    0  1.0D+00  8.1D-02  2.826D+00  2.700D+00
   18   22     0     0  con    0  1.0D+00  1.9D-02  9.843D-01  2.667D+00
   19   23     0     0  con    0  1.0D+00  4.3D-03  1.016D+00  2.662D+00
   20   24     0     0  con    0  1.0D+00  1.3D-02  1.461D+00  2.655D+00
   21   25     0     0  con    0  1.0D+00  2.0D-02  1.869D+00  2.642D+00
   22   26     0     0  con    0  1.0D+00  2.4D-02  2.057D+00  2.616D+00
   23   27     0     0  con    0  1.0D+00  6.0D-02  2.454D+00  2.565D+00
   24   28     0     0  con    0  1.0D+00  6.5D-02  1.196D+00  2.519D+00
   25   29     0     0  con    0  1.0D+00  2.7D-02  5.866D-01  2.504D+00
   26   30     0     0  con    0  1.0D+00  2.4D-02  9.572D-01  2.491D+00
   27   31     0     0  con    0  1.0D+00  7.2D-03  1.011D+00  2.486D+00
   28   32     0     0  con    0  1.0D+00  2.8D-02  8.912D-01  2.467D+00
   29   33     0     0  con    0  1.0D+00  5.0D-02  5.205D-01  2.445D+00
   30   34     0     0  con    0  1.0D+00  4.4D-02  6.339D-01  2.434D+00
   31   36     0     0  con    1  1.2D-01  3.6D-02  8.554D-01  2.428D+00
   32   37     0     0  con    0  1.0D+00  1.3D-02  7.246D-01  2.421D+00
   33   38     0     0  con    0  1.0D+00  5.3D-02  2.779D-01  2.403D+00
   34   39     0     0  con    0  1.0D+00  1.7D-02  2.040D-01  2.399D+00
   35   40     0     0  con    0  1.0D+00  1.5D-02  2.395D-01  2.396D+00
   36   41     0     0  con    0  1.0D+00  3.2D-02  4.861D-01  2.391D+00
   37   43     0     0  con    1  3.9D-01  1.9D-02  2.568D-01  2.388D+00
   38   44     0     0  con    0  1.0D+00  2.2D-02  2.285D-01  2.384D+00
   39   45     0     0  con    0  1.0D+00  1.2D-02  1.599D-01  2.382D+00
   40   46     0     0  con    0  1.0D+00  2.1D-02  1.163D-01  2.379D+00
   41   47     0     0  con    0  1.0D+00  2.9D-02  3.522D-01  2.378D+00
   42   48     0     0  con    0  1.0D+00  7.6D-03  1.129D-01  2.376D+00
   43   49     0     0  con    0  1.0D+00  7.8D-03  1.232D-01  2.376D+00
   44   50     0     0  con    0  1.0D+00  5.1D-03  8.794D-02  2.375D+00
   45   51     0     0  con    0  1.0D+00  5.8D-03  1.283D-01  2.375D+00
   46   52     0     0  con    0  1.0D+00  1.0D-02  1.400D-01  2.374D+00
   47   53     0     0  con    0  1.0D+00  1.9D-02  1.037D-01  2.373D+00
   48   55     0     0  con    1  2.3D-01  5.9D-03  1.815D-01  2.373D+00
   49   56     0     0  con    0  1.0D+00  3.5D-03  1.118D-01  2.373D+00
   50   57     0     0  con    0  1.0D+00  3.8D-03  6.023D-02  2.373D+00
   51   58     0     0  con    0  1.0D+00  2.6D-03  8.122D-02  2.372D+00
   52   59     0     0  con    0  1.0D+00  5.2D-03  7.647D-02  2.372D+00
   53   61     0     0  con    1  3.9D-01  6.9D-03  1.484D-01  2.372D+00
   54   62     0     0  con    0  1.0D+00  3.9D-03  6.989D-02  2.372D+00
   55   63     0     0  con    0  1.0D+00  3.1D-03  5.910D-02  2.372D+00
   56   64     0     0  con    0  1.0D+00  2.0D-03  8.515D-02  2.372D+00
   57   65     0     0  con    0  1.0D+00  3.5D-03  9.748D-02  2.371D+00
   58   66     0     0  con    0  1.0D+00  6.6D-03  8.691D-02  2.371D+00
   59   68     0     0  con    1  1.1D-01  4.1D-03  1.222D-01  2.371D+00
   60   69     0     0  con    0  1.0D+00  6.5D-03  5.877D-02  2.371D+00
   61   70     0     0  con    0  1.0D+00  1.7D-03  5.450D-02  2.371D+00
   62   71     0     0  con    0  1.0D+00  1.6D-03  8.158D-02  2.371D+00
   63   72     0     0  con    0  1.0D+00  2.5D-03  9.688D-02  2.371D+00
   64   73     0     0  con    0  1.0D+00  6.3D-03  1.165D-01  2.371D+00
   65   74     0     0  con    0  1.0D+00  9.4D-03  9.150D-02  2.370D+00
   66   75     0     0  con    0  1.0D+00  4.5D-03  7.091D-02  2.370D+00
   67   76     0     0  con    0  1.0D+00  2.9D-03  4.234D-02  2.370D+00
   68   77     0     0  con    0  1.0D+00  5.8D-03  4.047D-02  2.370D+00
   69   78     0     0  con    0  1.0D+00  8.6D-03  5.290D-02  2.370D+00
   70   79     0     0  con    0  1.0D+00  1.2D-02  4.708D-02  2.370D+00
   71   80     0     0  con    0  1.0D+00  1.4D-02  1.153D-01  2.370D+00
   72   81     0     0  con    0  1.0D+00  1.9D-03  4.137D-02  2.369D+00
   73   82     0     0  con    0  1.0D+00  2.0D-03  5.928D-02  2.369D+00
   74   83     0     0  con    0  1.0D+00  2.6D-03  8.307D-02  2.369D+00
   75   84     0     0  con    0  1.0D+00  8.4D-03  1.077D-01  2.369D+00
   76   85     0     0  con    0  1.0D+00  1.5D-02  1.435D-01  2.369D+00
   77   87     0     0  con    1  2.7D-01  1.1D-02  7.245D-02  2.369D+00
   78   88     0     0  con    0  1.0D+00  2.6D-02  6.565D-02  2.368D+00
   79   89     0     0  con    0  1.0D+00  1.5D-02  5.643D-02  2.368D+00
   80   90     0     0  con    0  1.0D+00  3.2D-02  8.465D-02  2.367D+00
   81   91     0     0  con    0  1.0D+00  2.9D-02  1.367D-01  2.367D+00
   82   92     0     0  con    0  1.0D+00  1.6D-02  8.864D-02  2.366D+00
   83   93     0     0  con    0  1.0D+00  4.6D-02  2.281D-01  2.365D+00
   84   95     0     0  con    1  3.8D-01  1.8D-02  1.362D-01  2.365D+00
   85   96     0     0  con    0  1.0D+00  3.1D-03  1.300D-01  2.364D+00
   86   97     0     0  con    0  1.0D+00  5.3D-02  1.121D-01  2.362D+00
   87   98     0     0  con    0  1.0D+00  7.9D-02  1.579D-01  2.361D+00
   88  100     0     0  con    1  2.8D-01  7.9D-02  3.788D-01  2.360D+00
   89  101     0     0  con    0  1.0D+00  1.3D-01  2.898D-01  2.358D+00
   90  102     0     0  con    0  1.0D+00  1.5D-01  1.643D-01  2.355D+00
   91  103     0     0  con    0  1.0D+00  1.9D-01  1.947D-01  2.351D+00
   92  104     0     0  con    0  1.0D+00  1.3D-01  2.505D-01  2.348D+00
   93  105     0     0  con    0  1.0D+00  3.1D-01  3.652D-01  2.343D+00
   94  106     0     0  con    0  1.0D+00  3.6D-01  2.819D-01  2.335D+00
   95  107     0     0  con    0  1.0D+00  3.6D-01  9.574D-01  2.330D+00
   96  108     0     0  con    0  1.0D+00  2.4D-01  6.122D-01  2.318D+00
   97  109     0     0  con    0  1.0D+00  5.7D-01  3.356D-01  2.305D+00
   98  110     0     0  con    0  1.0D+00  4.2D-01  3.298D-01  2.298D+00
   99  111     0     0  con    0  1.0D+00  1.5D+00  3.771D-01  2.271D+00
  100  113     0     0  con    1  7.4D-02  1.9D-01  6.818D-01  2.268D+00

STOP: TOTAL NO. of ITERATIONS REACHED LIMIT                 

 Total User time 3.983E-01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           65     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     7.370D+03  9.961D+02
    1    4     1     0  ---    2  2.7D-06  8.0D-02  1.801D+03  5.818D+02
    2    5     0     0  con    0  1.0D+00  1.4D-02  1.573D+03  4.939D+02
    3    7     0     0  con    1  3.2D-01  3.1D-02  8.829D+02  3.690D+02
    4    8     0     0  con    0  1.0D+00  2.8D-02  1.347D+03  3.293D+02
    5    9     0     0  con    0  1.0D+00  3.1D-02  1.102D+03  2.725D+02
    6   10     0     0  con    0  1.0D+00  8.0D-02  5.383D+02  1.745D+02
    7   11     0     0  con    0  1.0D+00  7.4D-02  3.017D+02  1.269D+02
    8   12     0     0  con    0  1.0D+00  9.1D-02  1.642D+02  9.512D+01
    9   13     0     0  con    0  1.0D+00  1.0D-01  8.416D+01  7.634D+01
